story_name,item_name
A Sinful Oracle,Broken Traveling Bag
An Old Friend's Recipe,Messy Beard
Burning Orphanage,Mine Lamp Hat
Burning Orphanage,Wicked Heart
Dancer and Singer,Golden Snake Dance
Eclage Mystery,Floating Light Feather
Funeral Dress of Reincarnation,Divine Contract Imprint
It was Phantom Thief Chiro.,Rogue's Skull Helm
It was Phantom Thief Chiro.,Wicked Heart
Lake Spirit,Ghost Whisper
Madeleine's Secret,Lady Feather Bonnet
Madeleine's Secret,Warrior's Will
Snow Winged Bird's Dream,Butterfly Veil
Story in the Tears,Pure Moonlight
The Mystery of the Emerald,Gem Unicorn
The Prince and the Pauper,Golden Spoon
Troubled Wei,Glacier Dragon
